peak_wavelength,peak_height,fwhm,area,centroid,variance,skewness,region_uv_mean,region_uv_max,region_visible_low_mean,region_visible_low_max,region_visible_high_mean,region_visible_high_max,region_nir_mean,region_nir_max,material
516.2324649298598,1.0,158.71743486973946,200.5656101544042,486.49567847591993,11356.405555525636,-72.51506596597997,0.15289545463838852,0.21143698385557205,0.5338157993859982,0.9359926186662191,0.588384942055977,1.0,0.060058464970433954,0.13982117049882511,Au
518.6372745490983,1.0,157.51503006012035,198.36099912980828,486.22432515646017,10890.134894281697,-79.51213791809354,0.14643761025142346,0.19793698253012443,0.531916650422116,0.9499595037448093,0.5940909828672911,1.0,0.0480823171257425,0.10732404367821814,Au
513.8276553106213,1.0,161.12224448897803,204.73232392881204,486.5013111674801,11770.932796143881,-62.52610553238918,0.16058366001548613,0.23295876522345993,0.544549901609071,0.9592011829487929,0.5916276933146167,1.0,0.06591625639650595,0.13619416231545045,Au
527.054108216433,1.0,161.12224448897803,207.002382805444,485.0100142090375,11135.84910263987,-82.18657190395699,0.15862303893788293,0.19146967362219183,0.555716813603423,0.9694984720494693,0.6079641110185484,1.0,0.05589178337093961,0.1356271805803304,Au
509.0180360721443,1.0,155.1102204408818,207.65057929572708,485.4317741253162,11487.296116277184,-73.54930522678436,0.16436161576666936,0.21262132535128656,0.5519568766294559,0.9697198695439375,0.6055437829871687,1.0,0.060956193495366455,0.1469833060078622,Au
517.4348697394789,1.0,157.51503006012024,196.61017220984803,485.7742427008211,11003.243999893632,-78.29492413695013,0.1477454913298662,0.18671821796932886,0.5253808973636342,0.9157448246702488,0.5838750844940492,1.0,0.05175221883595627,0.1238661281534055,Au
512.625250501002,1.0,162.32464929859714,201.0153697646378,486.2202654184669,10961.194957671007,-77.90208722751588,0.1498007330776055,0.19296429470638632,0.5404359336162777,0.9504020202436262,0.5932297233161845,1.0,0.05464342859595553,0.15215802309320123,Au
518.6372745490983,1.0,158.71743486973946,197.57779849771646,484.44055646927404,10416.162226021912,-93.47940696101496,0.14390550097910682,0.2018215500626687,0.5403553002257534,0.9650930930665959,0.5903399681303594,1.0,0.040489359831774194,0.10888799149101631,Au
516.2324649298598,1.0,158.71743486973958,194.46164148578518,485.5592656865953,10264.991866904607,-91.60611734540926,0.13790833524454754,0.1783409785192766,0.529443300051303,0.9462046179090945,0.5859821046200182,1.0,0.04121404128041206,0.11462414007139987,Au
512.625250501002,1.0,156.31262525050101,203.30404383121623,485.505806486465,11763.768806078238,-73.61340453135645,0.1630326135456334,0.22296212615173555,0.5328105521574277,0.9325938529169608,0.5950408792601475,1.0,0.06258585402075402,0.14895823908307995,Au
